YearMonth,Year,Month,Category,Actual_Sales,Actual_Profit,Budget_Sales,Variance_Sales,Variance_pct
2015-01,2015,1,Furniture,11739.9416,-3014.2,6741.927000000001,4998.0145999999995,74.1
2015-01,2015,1,Office Supplies,1808.78,589.8969,5578.741999999999,-3769.9619999999995,-67.6
2015-01,2015,1,Technology,4625.354,-856.7039,3457.619,1167.7350000000001,33.8
2015-02,2015,2,Furniture,3134.374,394.8948,1986.8306400000001,1147.5433599999997,57.8
2015-02,2015,2,Office Supplies,5368.067,1814.1018,1232.4825999999998,4135.5844,335.5
2015-02,2015,2,Technology,3448.97,604.8542,1769.361,1679.6089999999997,94.9
2015-03,2015,3,Furniture,12499.783,1455.0573,15739.872480000002,-3240.0894800000024,-20.6
2015-03,2015,3,Office Supplies,15882.547,5407.848199999999,9896.76085,5985.78615,60.5
2015-03,2015,3,Technology,10343.922,2869.1923,35762.2914,-25418.369400000003,-71.1
2015-04,2015,4,Furniture,10475.6985,338.6502000000001,8580.42396,1895.2745400000003,22.1
2015-04,2015,4,Office Supplies,12558.557999999999,1477.3595999999998,12828.3351,-269.77710000000116,-2.1
2015-04,2015,4,Technology,11160.952000000001,2371.4864,10114.9774,1045.9746000000014,10.3
2015-05,2015,5,Furniture,9374.950499999999,900.5847,7465.8099600000005,1909.1405399999985,25.6
2015-05,2015,5,Office Supplies,9113.736,1731.6139,8205.9676,907.7684000000008,11.1
2015-05,2015,5,Technology,11643.0,2035.6704,10559.8636,1083.1363999999994,10.3
2015-06,2015,6,Furniture,7714.179,-412.65969999999993,14262.615648,-6548.436648000001,-45.9
2015-06,2015,6,Office Supplies,10647.747000000001,2195.3864000000003,14895.992549999999,-4248.245549999998,-28.5
2015-06,2015,6,Technology,6435.366,1552.8305,9279.561500000002,-2844.1955000000016,-30.7
2015-07,2015,7,Furniture,13674.42,-325.09380000000004,11686.73508,1987.6849199999997,17.0
2015-07,2015,7,Office Supplies,4719.939,1113.7829,17389.389199999998,-12669.450199999997,-72.9
2015-07,2015,7,Technology,10370.966,2499.9592,8804.547400000001,1566.418599999999,17.8
2015-08,2015,8,Furniture,9638.5922,-487.4708999999999,7905.97422,1732.617979999999,21.9
2015-08,2015,8,Office Supplies,11735.108,2208.7531,13086.3813,-1351.273299999999,-10.3
2015-08,2015,8,Technology,15524.632,3634.5262,10130.626,5394.005999999999,53.2
2015-09,2015,9,Furniture,26273.023,1350.1185,25721.799264000005,551.2237359999963,2.1
2015-09,2015,9,Office Supplies,19305.767,2037.8836999999999,31536.7927,-12231.025700000002,-38.8
2015-09,2015,9,Technology,19017.128,4821.1605,33591.3292,-14574.2012,-43.4
2015-10,2015,10,Furniture,12026.6235,-605.5163,13288.58676,-1261.9632600000004,-9.5
2015-10,2015,10,Office Supplies,8673.41,1090.9375,8292.797199999999,380.6128000000008,4.6
2015-10,2015,10,Technology,10704.89,2331.9448,13131.819800000001,-2426.9298000000017,-18.5
2015-11,2015,11,Furniture,30880.8325,2992.024,23290.062516,7590.769983999999,32.6
2015-11,2015,11,Office Supplies,21218.13,2800.0289,30891.8014,-9673.6714,-31.3
2015-11,2015,11,Technology,23873.601,6682.7355,33221.548800000004,-9347.947800000005,-28.1
2015-12,2015,12,Furniture,23085.8192,428.81409999999994,33097.64382,-10011.824619999996,-30.2
2015-12,2015,12,Office Supplies,16201.673999999999,2631.9409,20707.431299999997,-4505.7572999999975,-21.8
2015-12,2015,12,Technology,35632.028,4956.2109,22982.5112,12649.516799999998,55.0
2016-01,2016,1,Furniture,7622.743,303.96070000000003,12679.136928000002,-5056.393928000001,-39.9
2016-01,2016,1,Office Supplies,5299.682,1604.4712,2080.0969999999998,3219.585,154.8
2016-01,2016,1,Technology,5620.066,916.3914,5087.889400000001,532.1765999999989,10.5
2016-02,2016,2,Furniture,3925.551,377.03520000000003,3385.12392,540.4270799999999,16.0
2016-02,2016,2,Office Supplies,6794.349999999999,1330.0009,6173.27705,621.0729499999998,10.1
2016-02,2016,2,Technology,12258.914,3297.5434,3793.867,8465.047,223.1
2016-03,2016,3,Furniture,12801.092,-555.268,13499.76564,-698.6736399999991,-5.2
2016-03,2016,3,Office Supplies,17346.931,1061.4056,18264.92905,-917.9980499999983,-5.0
2016-03,2016,3,Technology,21567.852,3105.8304,11378.3142,10189.537799999998,89.6
2016-04,2016,4,Furniture,13212.09,364.83340000000004,11313.75438,1898.3356199999998,16.8
2016-04,2016,4,Office Supplies,10647.447,-1100.4821,14442.341699999997,-3794.894699999997,-26.3
2016-04,2016,4,Technology,14890.502,3713.4636,12277.047200000003,2613.4547999999977,21.3
2016-05,2016,5,Furniture,15119.835000000001,1824.4739,10124.946539999999,4994.888460000002,49.3
2016-05,2016,5,Office Supplies,13035.202,2397.5024,10480.7964,2554.4056,24.4
2016-05,2016,5,Technology,28832.691,4440.1701,12807.300000000001,16025.390999999998,125.1
2016-06,2016,6,Furniture,13070.572,-106.26650000000004,8331.313320000001,4739.258679999999,56.9
2016-06,2016,6,Office Supplies,10901.81,2467.4894,12244.90905,-1343.0990500000007,-11.0
2016-06,2016,6,Technology,16372.152,2389.1552,7078.9026,9293.2494,131.3
2016-07,2016,7,Furniture,13068.519,1038.9073,14768.3736,-1699.8546000000006,-11.5
2016-07,2016,7,Office Supplies,12924.444,1123.9602,5427.9298499999995,7496.51415,138.1
2016-07,2016,7,Technology,13269.0,2270.0104,11408.062600000001,1860.937399999999,16.3
2016-08,2016,8,Furniture,12483.2323,-494.1457,10409.679576,2073.552723999999,19.9
2016-08,2016,8,Office Supplies,8959.74,1629.1913,13495.374199999998,-4535.634199999999,-33.6
2016-08,2016,8,Technology,9672.402,927.0237,17077.0952,-7404.6932,-43.4
2016-09,2016,9,Furniture,27262.8809,702.6025,28374.864840000002,-1111.983940000002,-3.9
2016-09,2016,9,Office Supplies,23263.738,3714.0417,22201.632049999997,1062.1059500000047,4.8
2016-09,2016,9,Technology,22883.406,4912.0134,20918.8408,1964.5651999999973,9.4
2016-10,2016,10,Furniture,11872.577000000001,-144.66,12988.75338,-1116.176379999999,-8.6
2016-10,2016,10,Office Supplies,16281.794,4680.055,9974.421499999999,6307.372500000001,63.2
2016-10,2016,10,Technology,31533.374,11707.7475,11775.379,19757.995,167.8
2016-11,2016,11,Furniture,31783.6288,819.8088,33351.299100000004,-1567.6703000000052,-4.7
2016-11,2016,11,Office Supplies,20487.278000000002,4686.925,24400.8495,-3913.571499999998,-16.0
2016-11,2016,11,Technology,27141.059,-1495.3262999999997,26260.9611,880.0979000000007,3.4
2016-12,2016,12,Furniture,36678.715,2828.6715000000004,24932.684736000003,11746.030263999994,47.1
2016-12,2016,12,Office Supplies,37997.566,11466.668599999999,18631.925099999997,19365.640900000002,103.9
2016-12,2016,12,Technology,22322.762,3589.9692,39195.230800000005,-16872.468800000006,-43.0
2017-01,2017,1,Furniture,5964.032,-39.440200000000004,8232.562440000002,-2268.5304400000014,-27.6
2017-01,2017,1,Office Supplies,21274.289,3260.4466999999995,6094.6343,15179.654700000001,249.1
2017-01,2017,1,Technology,16733.053,3919.4326,6182.0726,10550.9804,170.7
2017-02,2017,2,Furniture,6866.3374,-199.04210000000003,4239.59508,2626.7423200000003,62.0
2017-02,2017,2,Office Supplies,7407.772,953.8253000000001,7813.502499999999,-405.73049999999876,-5.2
2017-02,2017,2,Technology,6027.024,859.0888,13484.805400000001,-7457.781400000001,-55.3
